entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2024-07-24 11:15:00,2024-07-24 11:30:00,SHORT,1280.0,1279.8,-14999.999999995453,1
2024-07-25 13:15:00,2024-07-25 14:30:00,SHORT,1273.6,1276.9,-365000.00000001816,5
2024-07-26 14:00:00,2024-07-26 14:30:00,LONG,1280.1,1285.0,455000.0000000091,2
2024-07-29 13:30:00,2024-07-29 14:30:00,LONG,1292.8,1288.0,-514999.99999999546,4
2024-07-31 10:00:00,2024-07-31 11:30:00,LONG,1297.2,1301.1,354999.9999999864,6
2024-08-02 10:45:00,2024-08-02 11:30:00,SHORT,1261.5,1262.9,-175000.00000000908,3
2024-08-02 14:00:00,2024-08-02 14:30:00,LONG,1271.2,1276.0,444999.99999999546,2
2024-08-05 10:15:00,2024-08-05 11:30:00,LONG,1261.0,1252.1,-925000.0000000091,5
2024-08-07 13:45:00,2024-08-07 14:30:00,SHORT,1249.1,1249.9,-115000.00000001819,3
2024-08-08 11:00:00,2024-08-08 11:30:00,LONG,1249.4,1249.5,-25000.000000009095,2
2024-08-08 13:30:00,2024-08-08 14:30:00,SHORT,1243.1,1240.3,244999.99999999546,4
2024-08-12 11:00:00,2024-08-12 13:00:00,LONG,1264.7,1262.9,-214999.99999999546,2
2024-08-13 14:00:00,2024-08-13 14:30:00,SHORT,1264.2,1267.0,-314999.99999999546,2
2024-08-14 13:30:00,2024-08-14 14:30:00,SHORT,1269.1,1268.6,15000.0,4
2024-08-15 13:45:00,2024-08-15 14:15:00,SHORT,1267.3,1268.2,-125000.0000000091,2
2024-08-16 10:00:00,2024-08-16 11:30:00,LONG,1272.6,1278.9,595000.0000000182,6
2024-08-23 13:15:00,2024-08-23 14:30:00,LONG,1314.5,1315.2,35000.00000000454,5
2024-08-26 14:00:00,2024-08-26 14:30:00,SHORT,1316.8,1317.1,-64999.99999999545,2
2024-08-27 13:30:00,2024-08-27 14:30:00,LONG,1318.0,1322.4,405000.0000000091,4
2024-08-28 11:00:00,2024-08-28 11:30:00,SHORT,1319.8,1318.8,65000.0,2
2024-09-04 10:45:00,2024-09-04 11:30:00,SHORT,1309.8,1309.6,-14999.999999995453,3
2024-09-05 13:15:00,2024-09-05 14:30:00,SHORT,1313.6,1307.6,565000.0,5
2024-09-06 13:15:00,2024-09-06 14:30:00,LONG,1309.1,1309.0,-44999.999999990905,5
2024-09-11 14:00:00,2024-09-11 14:30:00,LONG,1296.6,1293.0,-394999.9999999909,2
2024-09-12 13:45:00,2024-09-12 14:30:00,LONG,1301.5,1297.5,-435000.0,3
2024-09-13 10:45:00,2024-09-13 11:30:00,SHORT,1296.4,1298.0,-194999.99999999092,3
2024-09-19 13:45:00,2024-09-19 14:30:00,LONG,1316.3,1316.9,25000.000000013642,3
2024-09-23 13:45:00,2024-09-23 14:30:00,SHORT,1328.3,1325.7,224999.99999999092,3
2024-09-24 13:30:00,2024-09-24 14:30:00,LONG,1329.0,1335.0,565000.0,4
